algorithm,dataset,seed,soft_penalty,two_in_a_row,two_in_a_day,period_spread,non_mixed_durations,front_load,period_penalty,room_penalty
ABC,exam_comp_set1,42,13609,2891,0,6838,1380,260,490,1750
ABC,exam_comp_set1,43,14996,3570,0,7531,1330,275,490,1800
ABC,exam_comp_set1,44,14045,2898,0,6937,1290,250,520,2150
ABC,exam_comp_set1,45,13176,2520,0,6696,1410,260,490,1800
ABC,exam_comp_set1,46,13748,2996,0,6562,1340,260,540,2050
ABC,exam_comp_set1,47,13178,1918,0,6965,1390,265,640,2000
ABC,exam_comp_set1,48,12889,1785,0,7079,1260,295,470,2000
ABC,exam_comp_set2,42,2864,0,50,4,2175,635,0,0
ABC,exam_comp_set2,43,2993,60,50,13,2200,670,0,0
ABC,exam_comp_set2,44,2866,0,75,6,2125,660,0,0
ABC,exam_comp_set2,45,2810,0,35,30,2050,645,50,0
ABC,exam_comp_set2,46,2697,15,85,12,2000,585,0,0
ABC,exam_comp_set2,47,2833,30,65,8,2100,630,0,0
ABC,exam_comp_set2,48,2827,15,40,12,2125,635,0,0
ABC,exam_comp_set3,42,23548,7575,3330,9213,2100,1030,300,0
ABC,exam_comp_set3,43,23458,6390,3870,9688,2180,1020,310,0
ABC,exam_comp_set3,44,23287,5700,4860,9207,2100,1120,300,0
ABC,exam_comp_set3,45,25074,8565,3400,9469,2240,1050,350,0
ABC,exam_comp_set3,46,22070,5910,4050,8650,2120,1060,280,0
ABC,exam_comp_set3,47,21698,5175,3610,9323,2220,1010,360,0
ABC,exam_comp_set3,48,23873,8100,3690,8603,2160,1040,280,0
ABC,exam_comp_set4,42,34734,22599,4365,6300,0,120,1350,0
ABC,exam_comp_set4,43,20297,9018,3290,4674,0,115,3200,0
ABC,exam_comp_set4,44,34455,20916,4170,7034,0,135,2200,0
ABC,exam_comp_set4,45,35822,21447,4490,6360,0,125,3400,0
ABC,exam_comp_set4,46,19001,6633,5460,5258,0,100,1550,0
ABC,exam_comp_set4,47,32540,19152,4700,6798,0,140,1750,0
ABC,exam_comp_set4,48,21705,9954,3110,5601,0,140,2900,0
ABC,exam_comp_set5,42,5527,80,240,2997,0,1560,650,0
ABC,exam_comp_set5,43,5795,440,0,3065,0,1590,700,0
ABC,exam_comp_set5,44,5509,520,0,2639,0,1550,800,0
ABC,exam_comp_set5,45,5769,80,15,3124,0,1550,1000,0
ABC,exam_comp_set5,46,7187,1400,30,3147,0,1560,1050,0
ABC,exam_comp_set5,47,5566,400,0,3056,0,1610,500,0
ABC,exam_comp_set5,48,6610,1400,0,2990,0,1620,600,0
ABC,exam_comp_set6,42,33850,10540,0,19900,1175,375,510,1350
ABC,exam_comp_set6,43,31395,7900,0,19900,1225,375,495,1500
ABC,exam_comp_set6,44,34500,11020,0,19900,1200,375,555,1450
ABC,exam_comp_set6,45,33080,9560,0,19900,1250,375,545,1450
ABC,exam_comp_set6,46,30500,7020,0,19900,1250,375,505,1450
ABC,exam_comp_set6,47,32805,9340,0,19900,1200,375,540,1450
ABC,exam_comp_set6,48,35435,11980,0,19900,1250,375,530,1400
ABC,exam_comp_set7,42,9738,75,0,5923,3030,610,100,0
ABC,exam_comp_set7,43,9661,50,0,6001,2910,700,0,0
ABC,exam_comp_set7,44,9316,0,0,6061,2685,570,0,0
ABC,exam_comp_set7,45,9511,0,0,5746,3045,720,0,0
ABC,exam_comp_set7,46,10187,0,0,6422,3015,650,100,0
ABC,exam_comp_set7,47,9603,0,0,5923,3000,680,0,0
ABC,exam_comp_set7,48,9127,25,0,5807,2745,550,0,0
ABC,exam_comp_set8,42,14237,0,0,10160,3000,430,412,235
ABC,exam_comp_set8,43,14428,0,0,10324,3100,450,399,155
ABC,exam_comp_set8,44,13965,0,0,9926,2975,455,379,230
ABC,exam_comp_set8,45,14353,0,0,10764,2575,420,384,210
ABC,exam_comp_set8,46,14713,0,0,10507,3175,455,401,175
ABC,exam_comp_set8,47,14048,0,0,10091,2975,415,372,195
ABC,exam_comp_set8,48,14630,0,0,10504,3100,430,351,245
ALNS,exam_comp_set1,42,11443,364,0,7594,1320,245,370,1550
ALNS,exam_comp_set1,43,11617,938,0,7369,1320,220,520,1250
ALNS,exam_comp_set1,44,11560,651,0,7649,1300,240,270,1450
ALNS,exam_comp_set1,45,11658,581,0,7807,1220,230,370,1450
ALNS,exam_comp_set1,46,10519,476,0,6598,1480,245,420,1300
ALNS,exam_comp_set1,47,11117,623,0,7224,1260,240,470,1300
ALNS,exam_comp_set1,48,10853,469,0,7059,1250,235,540,1300
ALNS,exam_comp_set2,42,3119,30,175,14,2250,600,50,0
ALNS,exam_comp_set2,43,3147,15,70,32,2425,605,0,0
ALNS,exam_comp_set2,44,2910,45,180,25,2050,610,0,0
ALNS,exam_comp_set2,45,3235,15,125,10,2350,585,150,0
ALNS,exam_comp_set2,46,3159,0,110,24,2350,625,50,0
ALNS,exam_comp_set2,47,3094,60,20,14,2375,625,0,0
ALNS,exam_comp_set2,48,3158,30,25,13,2450,640,0,0
ALNS,exam_comp_set3,42,159306,90540,31210,33706,2520,510,640,180
ALNS,exam_comp_set3,43,118750,71430,18170,25120,2600,810,620,0
ALNS,exam_comp_set3,44,195123,114315,39660,37628,2400,470,650,0
ALNS,exam_comp_set3,45,192068,123225,29610,35613,2540,470,610,0
ALNS,exam_comp_set3,46,134508,71430,30200,28628,2760,560,700,230
ALNS,exam_comp_set3,47,150573,86400,28710,31683,2480,650,650,0
ALNS,exam_comp_set3,48,163771,91680,34380,33891,2600,540,680,0
ALNS,exam_comp_set4,42,52073,34290,4210,8308,0,115,5150,0
ALNS,exam_comp_set4,43,42781,27648,3730,7708,0,145,3550,0
ALNS,exam_comp_set4,44,46661,29952,4325,7349,0,135,4900,0
ALNS,exam_comp_set4,45,46433,26613,6640,8705,0,125,4350,0
ALNS,exam_comp_set4,46,35996,20313,6105,7093,0,135,2350,0
ALNS,exam_comp_set4,47,48632,29493,6670,8539,0,130,3800,0
ALNS,exam_comp_set4,48,45355,30249,4020,7566,0,120,3400,0
ALNS,exam_comp_set5,42,17823,440,2790,7633,0,1310,5650,0
